"","age","75%","80%","90%","95%","97.5%","99%","99.5%"
"61",16,3.35775305922093,3.52315232631435,3.95852304767759,4.31805970394443,4.62990413412389,4.99249067720884,5.23938638327406
"34",17,3.43873232958445,3.60811567846038,4.05397346297755,4.42217051700521,4.7415265506826,5.1128469561738,5.36568980276751
"347",18,3.5213535650522,3.69472464187997,4.15107908714724,4.52794446479631,4.85481897647369,5.23488123746541,5.49367666731761
"1055",19,3.60565483738243,3.78301709332273,4.2498772836265,4.63541848685748,4.96981798336676,5.35862966545734,5.62338283020363
"529",20,3.69167070948339,3.87302720232574,4.35040118650482,4.7446248621877,5.08655510869736,5.48412291514102,5.75483837922186
"237",21,3.77925686734356,3.96460217278777,4.4524756727771,4.85537002983935,5.20482079935238,5.61113283905498,5.88780250547905
"315",22,3.86801267605815,4.05732215649681,4.55563032017767,4.96714180262026,5.32406664329456,5.73906890595086,6.02165599753298
"15",23,3.95748696590542,4.15071603028706,4.65934148326844,5.07937316129339,5.44368800098472,5.86728273455815,6.15572068909806
"28",24,4.04719251519219,4.24427661902126,4.76304946463989,5.19146103465023,5.56304418091224,5.99508989163487,6.28928236191725
"320",25,4.13657795931855,4.33743146511626,4.86612628489497,5.30273159242148,5.6814215840141,6.12173053830077,6.42154969107605
"239",26,4.22490438319852,4.42941447171971,4.96773429822322,5.41228810243215,5.79787222950584,6.24619710618754,6.55147453328994
"492",27,4.31133340470499,4.51935804965086,5.06692903544166,5.51912260666645,5.91133309227756,6.36736254278774,6.67788623793731
"26",28,4.39497590942339,4.60634387607675,5.16271529012287,5.62217640689765,6.02069040443539,6.48404904981833,6.79956340658376
"198",29,4.47490831144949,4.68941964679452,5.25406516458275,5.72035917904006,6.12479969630016,6.59504920164628,6.91525574505914
"457",30,4.55061791017551,4.7680613115327,5.34042473350052,5.81309232644154,6.22306097251915,6.69973812230488,7.02432143546421
"87",31,4.6221534464357,4.84232789495201,5.42188009104583,5.90048429773943,6.31560207089658,6.7982661936951,7.12692621063007
"38",32,4.6896238155439,4.91233993219593,5.49858241119829,5.98271156899306,6.40262141327253,6.89085735436988,7.22331138418038
"200",33,4.75316259427937,4.97824263987344,5.57070754940301,6.05997529772726,6.48434210295261,6.97776022434767,7.31374295120433
"80",34,4.81296753632019,5.0402469060213,5.63850096649345,6.13254949558771,6.56106291515419,7.05930237184965,7.39856808591548
"23",35,4.86946512580422,5.0987997733874,5.7024638204323,6.20098000981554,6.63336845840274,7.13611347377107,7.4784471535708
"214",36,4.92317599812814,5.15444473698648,5.76319977825673,6.2659201985426,6.70195519044415,7.20894010047341,7.55416084766688
"56",37,4.97465045460674,5.20775495844941,5.82134217545734,6.32805308987148,6.76754924031104,7.27855849513506,7.62651953555921
"54",38,5.02444687823688,5.25931101269774,5.87753000144833,6.38806591291264,6.8308796778562,7.34574637651398,7.69633406245797
"18",39,5.07255284573905,5.30910191259028,5.93175604935046,6.44595458259242,6.89194512570673,7.41050551552462,7.76360834303785
"7",40,5.11825683654956,5.35639329718495,5.98322583684284,6.5008749673176,6.94985838893007,7.47189864679594,7.82737101751231
"57",41,5.16078811841421,5.40039021588843,6.03108066482844,6.55191572337649,7.0036624624624,7.52891567407435,7.88657583829499
"42",42,5.19935919789548,5.440280956924,6.07444507302679,6.59814874587388,7.05238358005635,7.58052973992269,7.94015979661589
"119",43,5.23335813591556,5.47543572165254,6.11264225213041,6.63885840328098,7.09527243769583,7.62595238878138,7.98730777749262
"109",44,5.26304176191146,5.50612286019554,6.1459708774781,6.67436841402444,7.13267447495143,7.66555431574504,8.02840767323943
"163",45,5.28893673563495,5.53288903267411,6.1750302549818,6.70532155981896,7.16527018231305,7.70005985590396,8.06421367400824
"20",46,5.31158869129301,5.55629987447967,6.20043866796934,6.73237960156697,7.19375903099506,7.73021232685982,8.09549895367905
"75",47,5.33154681215339,5.57692417135244,6.22281650061144,6.75620553431368,7.21884097462159,7.75675465457187,8.12303569932192
"30",48,5.3490437285397,5.59500322735603,6.24242788834517,6.77708234803843,7.24081535667554,7.78000519700507,8.14715521641481
"43",49,5.36395623873881,5.61041050927365,6.25913752863342,6.79486749834806,7.25953335153362,7.79980782524866,8.16769640302646
"27",50,5.37614486634142,5.62300259458231,6.27279161183126,6.80939859773302,7.27482513166801,7.8159840611457,8.18447489053534
"52",51,5.38547283765367,5.63263876347448,6.2832390310092,6.82051596139925,7.28652357226634,7.8283581292547,8.19730901303539
"5",52,5.39183457251894,5.63921040883701,6.29036321137516,6.82809643470789,7.29449981165397,7.83679453223855,8.20605875477425
"29",53,5.39524839598333,5.64273677996329,6.2941858350641,6.83216370887644,7.29877928362789,7.84132073001948,8.21075295532166
"3",54,5.39576939315684,5.64327494770529,6.29476919987939,6.83278439821495,7.29943234642394,7.84201143395618,8.21146929020406
"4",55,5.39345702219674,5.64088635597597,6.29217997672127,6.83002949016001,7.29653373143025,7.83894572858955,8.20828980815048
"16",56,5.38837930110043,5.63564115634714,6.28649393324351,6.82397939022276,7.29016786680758,7.83221271927987,8.20130679936218
"40",57,5.38071694263396,5.62772579451084,6.27791260558057,6.81484809648552,7.28055955951952,7.82204978065111,8.19076619614802
"2",58,5.37076554262089,5.61744531303049,6.26676590239133,6.80298605245795,7.26807706399632,7.80884587617787,8.17707106337225
"129",59,5.35882682180241,5.60511105010544,6.25339047734208,6.78875081775592,7.25309607264733,7.79299778156062,8.16063253296046
"49",60,5.34520235989184,5.59103420290721,6.23812284307155,6.77249981096792,7.23599213685469,7.77490213147275,8.14186159581134
"82",61,5.33012209182169,5.57545197180242,6.22121932431942,6.75450515007099,7.21705107287351,7.75486066937806,8.12107084068751
"98",62,5.31353341179093,5.55830960832849,6.2026195326217,6.73470178899063,7.19620379484679,7.73279961229931,8.09818328620621
"14",63,5.29531543804469,5.53948173604489,6.18218626044222,6.71294274986769,7.17329485061731,7.70855365487635,8.07302691767529
"95",64,5.27535027331663,5.51884596299968,6.15978528473364,6.68908403933203,7.14817177251695,7.68196047623834,8.04543270489205
"260",65,5.25352608928256,5.49628605813096,6.13528878536768,6.66298826680433,7.12068886902741,7.65286473323144,8.01523873262374
"91",66,5.22979371614051,5.47175044913795,6.10863886608779,6.63459231359621,7.09077849177955,7.62119351075373,7.98236849949716
"48",67,5.20416389149161,5.44524940971298,6.07984457946659,6.60390422385857,7.05844781026878,7.58695296132461,7.94682746554322
"6",68,5.17665176751333,5.41679770773926,6.0489196818322,6.57093691855986,7.02370902091366,7.55015443891678,7.90862641108876
"35",69,5.14727453017195,5.38641214492264,6.01587996342444,6.53570535265382,6.98657635418179,7.51081133162615,7.86777815063434
"39",70,5.11612767393386,5.35419047160502,5.9808291125931,6.49831811819961,6.94716265536893,7.46904143005519,7.82440384218538
"139",71,5.08358923736582,5.32052280961202,5.94418905721238,6.45922340905535,6.90593890015707,7.42534219867955,7.77901898720632
"19",72,5.05009562674289,5.2858599345934,5.90644839658825,6.41894105995515,6.863452015356,7.38029206470186,7.73222346243201
"8",73,5.01607396202233,5.25064333588104,5.86808644370881,6.37798161931522,6.82023964145754,7.33446016900677,7.68460785827927
"83",74,4.98193100533487,5.21529377160215,5.829560797536,6.33683310989476,6.77681618932777,7.28839160433736,7.63673815967217
"64",75,4.94785927059069,5.18001045842729,5.79108831802064,6.29572696176992,6.73342572645369,7.24234513190182,7.58888313320036
"13",76,4.91386159742923,5.1447962995049,5.75267207548219,6.25466638331287,6.6900715809476,7.19632421903622,7.54104634100142
"99",77,4.87993405913528,5.10964718940979,5.71430749408781,6.21364641022002,6.64674845156545,7.15032317273043,7.49322182330031
"1",78,4.84607284022722,5.07455913407246,5.67599010968153,6.1726621901299,6.60345114923541,7.10433641241404,7.44540373294386
"79",79,4.81230893559504,5.03956421905011,5.63775487871948,6.1317510503365,6.56021905759974,7.0584057126786,7.39763547259042
"158",80,4.77879206212956,5.00481764959332,5.59977145313752,6.09109457309774,6.51724410669153,7.01273503508207,7.35012919641263
"63",81,4.74569389693548,4.97049754296029,5.56223490222943,6.05090182699099,6.47474750737891,6.96755970852968,7.30312984669713
"125",82,4.7131818452025,4.93677774449438,5.5253360233747,6.01137760867976,6.43294619861649,6.92311079001352,7.25687809381769
"10",83,4.68140906192698,4.90381746878521,5.48924998147237,5.97271025510393,6.39203994212516,6.87960132503146,7.21159602858168
"497",84,4.65034727090444,4.87158779462098,5.45394615749602,5.93486774515242,6.35199550069456,6.83699666239486,7.16724803698157
"121",85,4.61981778306838,4.83990365566978,5.4192226986146,5.8976343634135,6.31258513519153,6.795055082796,7.12358288020283
"256",86,4.58964122773484,4.80857911938834,5.38487639989017,5.86079264110757,6.27357900508109,6.75353236086056,7.08034653781632
"36",87,4.55964234311422,4.77743236201321,5.35070816486316,5.82412921768447,6.23475137784177,6.71218837897668,7.03728909698444
"17",88,4.529640104864,4.74627541991595,5.31651176403259,5.78742277937041,6.19586785634266,6.6707735277834,6.99415058989701
"47",89,4.49942633596229,4.7148919593829,5.28204939330689,5.75041779146517,6.15665752722477,6.6289990129074,6.95063004647884
"160",90,4.4687915574119,4.68306409965691,5.24708105647241,5.71285599442939,6.1168462902374,6.58657231584766,6.90642240670745
"298",91,4.43753152754306,4.65057919730842,5.21137199464357,5.67448436605218,6.07616528245863,6.54320615543237,6.8612278478898
"1859",92,4.40545793448615,4.6172409538163,5.1747048865082,5.6350682240377,6.03436476352839,6.49863328304754,6.81476719953346
"194",93,4.37255422925991,4.58303145613082,5.13705822845967,5.59458309963545,5.99141769287606,6.45282366782592,6.76700839459132
"1976",94,4.33893774324097,4.54807198855894,5.09856370986998,5.55316927489974,5.94747180542642,6.40593371026481,6.71811373420067
"453",95,4.3047271287052,4.51248530634493,5.05935488598481,5.51096922390381,5.9026773110055,6.35812261467466,6.66824854727758
"5559",96,4.27003839845083,4.47639152515876,5.01956267222107,5.468122780682,5.8571817792182,6.3095469449329,6.6175755221608
"5361",97,4.2349813082645,4.4399043600587,4.97931120539382,5.424762688516,5.81112541817251,6.26035558862129,6.56624945653785
"9468",104,3.98668529919179,4.18117722764277,4.69312684312206,5.11590367191334,5.4825995204992,5.90896269147466,6.19928575543219
